ttk91feedbackform, title, "Opiskelijalle annettavat palautteet"
ttk91feedbackform, criteriafilled, "Kriteerien vaatimukset t‰yttyv‰t"
ttk91feedbackform, criterianotfilled, "Kriteerien vaatimukset eiv‰t t‰yty"
ttk91feedbackform, criteriaquality, "Laadulliset kriteerit t‰yttyv‰t"
ttk91memoryvaluesyntaxerror, "Muistikriteerien syntaksi on v‰‰rin"
ttk91registervaluessyntaxerror, "Rekisterikriteerien syntaksi on v‰‰rin"
ttk91taskdescriptionsyntaxerror, "Teht‰v‰nannon syntaksi on v‰‰rin"
ttk91publicinputsyntaxerror, "Opiskelijalle n‰ytett‰vien syˆtteiden syntaksi on v‰‰rin"
ttk91hiddeninputsyntaxerror, "Piilotettujen syˆtteiden syntaksi on v‰‰rin"
ttk91examplecodesyntaxerror, "Malliratkaisun syntaksi on v‰‰rin"
ttk91examplecodefillinsyntaxerror, "T‰yttˆkohta on merkitty virheellisesti malliratkaisuun"
ttk91maxcommandssyntaxerror, "Ohjelman k‰skyjen yl‰raja on ilmoitettu virheellisesti"
ttk91acceptedsizesyntaxerror, "Ohjelman hyv‰ksytty koko on ilmoitettu virheellisesti"
ttk91optimalsizesyntaxerror, "Ohjelman ihannekoko on ilmoitettu virheellisesti"
ttk91comparemethodsyntaxerror, "Ohjelman tarkistuksen vertailumetodi on ilmoitettu virheellisesti"
ttk91requiredcommandssyntaxerror, "Vaadittujen konek‰skyjen syntaksi on v‰‰rin. Tarkista, ett‰ kaikki m‰‰rittelem‰si k‰skyt ovat TTK91-k‰skyj‰"
ttk91forbiddencommandssyntaxerror, "Kiellettyjen konek‰skyjen syntaksi on v‰‰rin. Tarkista, ett‰ kaikki m‰‰rittelem‰si k‰skyt ovat TTK91-k‰skyj‰"
ttk91memoryrefrencessyntaxerror, "Muistiviitteiden m‰‰r‰ on ilmoitettu virheellisesti"
ttk91screenoutputsyntaxerror, "N‰yttˆtulosteiden syntaksi on v‰‰rin"
ttk91fileoutputsyntaxerror, "Tiedostotulosteiden syntaksi on v‰‰rin"

